SUID	abundance	AverageShortestPathLength	BetweennessCentrality	class	ClosenessCentrality	ClusteringCoefficient	degree	Eccentricity	family	genus	isafeature	IsSingleNode	kingdom	Label	lineage	name	negdegree	NeighborhoodConnectivity	NumberOfDirectedEdges	NumberOfUndirectedEdges	order	oriID	PartnerOfMultiEdgedNodePairs	phylum	posdegree	Radiality	samplecount	selected	SelfLoops	shared.name	species	Stress	taxon	TopologicalCoefficient	unknowndegree
13445	0.187739246077664	200.646.831	9.9e-07	Actinobacteria1	0.49838814	0.33333333	6	3	Pseudonocardiaceae	Actinomycetospora	no	FALSE	Bacteria	Actinomycetospora	Bacteria--Actinobacteria--Actinobacteria1--Actinomycetales--Pseudonocardiaceae--Actinomycetospora	Actinomycetospora	6	53.516.666.667	6	0	Actinomycetales	Actinomycetospora	0	Actinobacteria	0	0.74838292	46	FALSE	0	Actinomycetospora	none	562	Actinomycetospora	0.70231846	0
12649	0.540698491631777	202.716.688	9.9e-07	Actinobacteria1	0.4932993	0	5	4	Nocardiaceae	none	no	FALSE	Bacteria	Nocardiaceae	Bacteria--Actinobacteria--Actinobacteria1--Actinomycetales--Nocardiaceae	Nocardiaceae	5	605	5	0	Actinomycetales	Nocardiaceae	0	Actinobacteria	0	0.74320828	79	FALSE	0	Nocardiaceae	none	562	Nocardiaceae	0.81292059	0
11478	0.159351550794301	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Unclassified	OTU-BV5denovo74766	Unclassified--OTU_BV5denovo74766	OTU-BV5denovo74766	5	605	5	0	none	OTU-BV5denovo74766	0	none	0	0.74320828	54	FALSE	0	OTU-BV5denovo74766	none	562	OTU_BV5denovo74766	0.81292059	0
10150	0.116031982979954	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo279190	Bacteria--OTU_BV5denovo279190	OTU-BV5denovo279190	5	605	5	0	none	OTU-BV5denovo279190	0	none	0	0.74320828	38	FALSE	0	OTU-BV5denovo279190	none	562	OTU_BV5denovo279190	0.81292059	0
9406	0.304542820971735	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo40056	Bacteria--OTU_BV5denovo40056	OTU-BV5denovo40056	5	605	5	0	none	OTU-BV5denovo40056	0	none	0	0.74320828	90	FALSE	0	OTU-BV5denovo40056	none	562	OTU_BV5denovo40056	0.81292059	0
8575	0.244282700148337	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo443712	Bacteria--OTU_BV5denovo443712	OTU-BV5denovo443712	5	605	5	0	none	OTU-BV5denovo443712	0	none	0	0.74320828	82	FALSE	0	OTU-BV5denovo443712	none	562	OTU_BV5denovo443712	0.81292059	0
7696	230.449.867.254.808	202.716.688	9.9e-07	Dothideomycetes	0.4932993	0	5	4	none	none	no	FALSE	Fungi	Dothideomycetes	Fungi--Ascomycota--Dothideomycetes	Dothideomycetes	5	605	5	0	none	Dothideomycetes	0	Ascomycota	0	0.74320828	133	FALSE	0	Dothideomycetes	none	562	Dothideomycetes	0.81292059	0
6882	162.473.819.308.562	202.716.688	9.9e-07	Dothideomycetes	0.4932993	0	5	4	none	none	no	FALSE	Fungi	Pleosporales	Fungi--Ascomycota--Dothideomycetes--Pleosporales	Pleosporales	5	605	5	0	Pleosporales	Pleosporales	0	Ascomycota	0	0.74320828	123	FALSE	0	Pleosporales	none	562	Pleosporales	0.81292059	0
6748	0.679760479462461	202.716.688	9.9e-07	Dothideomycetes	0.4932993	0	5	4	none	none	no	FALSE	Fungi	Capnodiales	Fungi--Ascomycota--Dothideomycetes--Capnodiales	Capnodiales	5	605	5	0	Capnodiales	Capnodiales	0	Ascomycota	0	0.74320828	94	FALSE	0	Capnodiales	none	562	Capnodiales	0.81292059	0
5829	0.294549917837517	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Unclassified	OTU-BV5denovo54529	Unclassified--OTU_BV5denovo54529	OTU-BV5denovo54529	5	605	5	0	none	OTU-BV5denovo54529	0	none	0	0.74320828	80	FALSE	0	OTU-BV5denovo54529	none	562	OTU_BV5denovo54529	0.81292059	0
